Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
wealth_buy_sell_stock,phenx_wealth,BUY OR SELL STOCK,radio,"Since January [P2YEAR], did you (or anyone in your family living there) buy or sell any shares of stock in publicly held corporations, stock mutual funds, or investment trusts, including any automatic reinvestments--not including any retirement accounts? If R says ""Yes"", PROBE: Did you buy only, sell only, or both?","UNDEFINED_CODE, Yes, bought only |UNDEFINED_CODE_1, Yes, sold only |UNDEFINED_CODE_2, Yes, both bought and sold |UNDEFINED_CODE_3, No, neither|UNDEFINED_CODE_4, Don't know/Refused",PX280501,,,,,,,,,,
wealth_buy_sell_stock_purchase_amount,phenx_wealth,,text,"Altogether, how much money did you (or anyone in your family living there) spend on (shares of) stocks (since January [P2YEAR])?",,PX280501,number,,,,[wealth_buy_sell_stock]='UNDEFINED_CODE' OR [wealth_buy_sell_stock]='UNDEFINED_CODE_2',,,,,
wealth_buy_sell_stock_purchase_amount_enumerated,phenx_wealth,,radio,"Altogether, how much money did you (or anyone in your family living there) spend on (shares of) stocks (since January [P2YEAR])? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_stock]='UNDEFINED_CODE' OR [wealth_buy_sell_stock]='UNDEFINED_CODE_2',,,,,
wealth_buy_sell_stock_purchase_amount_20,phenx_wealth,,radio,"Was it $20,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_stock_purchase_amount_enumerated]='UNDEFINED_CODE',,,,,
wealth_buy_sell_stock_purchase_amount_50,phenx_wealth,,radio,"Was it $50,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_stock_purchase_amount_20]='UNDEFINED_CODE',,,,,
wealth_buy_sell_stock_purchase_amount_100,phenx_wealth,,radio,"Was it $100,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_stock_purchase_amount_50]='UNDEFINED_CODE',,,,,
wealth_buy_sell_stock_purchase_amount_5,phenx_wealth,,radio,"Was it $5,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_stock_purchase_amount_20]='UNDEFINED_CODE_1',,,,,
wealth_buy_sell_stock_sales_amount,phenx_wealth,,text,"Altogether, how much money did you [or anyone in your family living there] get from selling (shares of) stocks (since January [P2YEAR])?",,PX280501,number,,,,[wealth_buy_sell_stock]='UNDEFINED_CODE_1' OR [wealth_buy_sell_stock]='UNDEFINED_CODE_2',,,,,
wealth_buy_sell_stock_sales_amount_enumerated,phenx_wealth,,radio,"Altogether, how much money did you [or anyone in your family living there] get from selling (shares of) stocks (since January [P2YEAR])? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_stock]='UNDEFINED_CODE_1' OR [wealth_buy_sell_stock]='UNDEFINED_CODE_2',,,,,
wealth_buy_sell_stock_sales_amount_20,phenx_wealth,,radio,"Was it $20,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_stock_sales_amount_enumerated]='UNDEFINED_CODE',,,,,
wealth_buy_sell_stock_sales_amount_50,phenx_wealth,,radio,"Was it $50,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_stock_sales_amount_20]='UNDEFINED_CODE',,,,,
wealth_buy_sell_stock_sales_amount_100,phenx_wealth,,radio,"Was it $100,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_stock_sales_amount_50]='UNDEFINED_CODE',,,,,
wealth_buy_sell_stock_sales_amount_5,phenx_wealth,,radio,"Was it $5,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_stock_sales_amount_20]='UNDEFINED_CODE_1',,,,,
wealth_assets_debt_movers_out_adult_1,phenx_wealth,ASSETS OR DEBTS FROM MOVERS-IN OR MOVERS-OUT,radio,Are there Movers-Out Age 18+ Years Old? ,"UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No",PX280501,,,,,[wealth_family_listing_mover_out]='UNDEFINED_CODE' AND [wealth_family_listing_age]>18,,,,,
wealth_movers_removed_assets_debts,phenx_wealth,,radio,"Sometimes changes in a family's savings or assets are due to people joining or leaving the family. Was there anyone living with you in January [P2YEAR] who doesn't live with you now and who took $5,000 or more in assets or debts away with them?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX280501,,,,,[wealth_assets_debt_movers_out_adult_1]='UNDEFINED_CODE',,,,,
wealth_movers_removed_assets_amount,phenx_wealth,,text,"Altogether, what is the total dollar value of assets that were removed that way?",,PX280501,number,,,,[wealth_movers_removed_assets_debts]='UNDEFINED_CODE',,,,,
wealth_movers_removed_assets_amount_enumerated,phenx_wealth,,radio,"Altogether, what is the total dollar value of assets that were removed that way? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_movers_removed_assets_debts]='UNDEFINED_CODE',,,,,
wealth_movers_removed_assets_amount_10,phenx_wealth,,radio,"Was it $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_movers_removed_assets_amount_enumerated]='UNDEFINED_CODE',,,,,
wealth_movers_removed_assets_amount_25,phenx_wealth,,radio,"Was it $25,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_movers_removed_assets_amount_10]='UNDEFINED_CODE',,,,,
wealth_movers_removed_assets_amount_100,phenx_wealth,,radio,"Was it $100,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_movers_removed_assets_amount_25]='UNDEFINED_CODE',,,,,
wealth_movers_removed_assets_amount_5,phenx_wealth,,radio,"Was it $5,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_movers_removed_assets_amount_10]='UNDEFINED_CODE_1',,,,,
wealth_movers_removed_debt_amount,phenx_wealth,,text,"Altogether, what is the total dollar value of debts that were removed that way?",,PX280501,number,,,,[wealth_movers_removed_assets_amount]>0,,,,,
wealth_movers_removed_debt_amount_enumerated,phenx_wealth,,radio,"Altogether, what is the total dollar value of debts that were removed that way? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_movers_removed_assets_amount]>0,,,,,
wealth_movers_removed_debt_amount_10,phenx_wealth,,radio,"Was it $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_movers_removed_debt_amount_enumerated]='UNDEFINED_CODE',,,,,
wealth_movers_removed_debt_amount_25,phenx_wealth,,radio,"Was it $25,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_movers_removed_debt_amount_10]='UNDEFINED_CODE',,,,,
wealth_movers_removed_debt_amount_5,phenx_wealth,,radio,"Was it $5,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_movers_removed_debt_amount_10]='UNDEFINED_CODE_1',,,,,
wealth_assets_debt_movers_out_adult_2,phenx_wealth,,radio,Are there Movers-In Age 18+ Years Old? ,"UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No",PX280501,,,,,[wealth_family_listing_mover_out]='UNDEFINED_CODE' AND [wealth_family_listing_age]>18,,,,,
wealth_movers_added_assets_debts,phenx_wealth,,radio,"Is there anyone in your family living with you now who has joined the family since January [P2YEAR] and who had $5,000 or more in assets or debts at the time they joined the family?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX280501,,,,,[wealth_family_listing_mover_out]='UNDEFINED_CODE_1' AND [wealth_family_listing_age]>18,,,,,
wealth_movers_added_assets_amount,phenx_wealth,,text,"Altogether, what is the total dollar value of assets that were brought into the family that way?",,PX280501,number,,,,[wealth_movers_added_assets_debts]='UNDEFINED_CODE',,,,,
wealth_movers_added_assets_amount_enumerated,phenx_wealth,,radio,"Altogether, what is the total dollar value of assets that were brought into the family that way? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_movers_added_assets_debts]='UNDEFINED_CODE',,,,,
wealth_movers_added_assets_amount_10,phenx_wealth,,radio,"Was it $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_movers_added_assets_amount_enumerated]='UNDEFINED_CODE',,,,,
wealth_movers_added_assets_amount_25,phenx_wealth,,radio,"Was it $25,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_movers_added_assets_amount_10]='UNDEFINED_CODE',,,,,
wealth_movers_added_assets_amount_100,phenx_wealth,,radio,"Was it $100,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_movers_added_assets_amount_25]='UNDEFINED_CODE',,,,,
wealth_movers_added_assets_amount_5,phenx_wealth,,radio,"Was it $5,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_movers_added_assets_amount_10]='UNDEFINED_CODE',,,,,
wealth_movers_added_debt_amount,phenx_wealth,,text,"Altogether, what is the total dollar value of debts that were brought into the family that way?",,PX280501,number,,,,[wealth_movers_added_assets_debts]='UNDEFINED_CODE',,,,,
wealth_movers_added_debt_amount_enumerated,phenx_wealth,,radio,"Altogether, what is the total dollar value of debts that were brought into the family that way? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_movers_added_assets_debts]='UNDEFINED_CODE',,,,,
wealth_movers_added_debt_amount_10,phenx_wealth,,radio,"Was it $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_movers_added_debt_amount_enumerated]='UNDEFINED_CODE',,,,,
wealth_movers_added_debt_amount_25,phenx_wealth,,radio,"Was it $25,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_movers_added_debt_amount_10]='UNDEFINED_CODE',,,,,
wealth_movers_added_debt_amount_5,phenx_wealth,,radio,"Was it $5,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_movers_added_debt_amount_10]='UNDEFINED_CODE_1',,,,,
wealth_gifts_inheritances,phenx_wealth,LARGE GIFTS AND INHERITANCES,radio,"Some people's assets come from gifts and inheritances. During the last two years, have you (or anyone in your family living there) received any large gifts or inheritances of money or property worth $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX280501,,,,,,,,,,
wealth_gifts_inheritances_which,phenx_wealth,,radio,"Was that a gift or was that an inheritance? If multiple gifts or inheritances worth $10,000 or more were received, we can talk about each one separately.","UNDEFINED_CODE, Gift|UNDEFINED_CODE_1, Inheritance",PX280501,,,,,[wealth_assets_debt_movers_out_adult_1]='UNDEFINED_CODE',,,,,
wealth_gifts_inheritances_year,phenx_wealth,,radio,"What year did you [or anyone in your family living there] receive that? (If multiple gifts or inheritances worth $10,000 or more were received, we can talk about each one separately.)","UNDEFINED_CODE, P2YEAR|UNDEFINED_CODE_1, PYEAR|UNDEFINED_CODE_2, CYEAR|UNDEFINED_CODE_3, Not yet received|UNDEFINED_CODE_4, Don't know/Refused",PX280501,,,,,,,,,,
wealth_gifts_inheritances_amount,phenx_wealth,,text,"How much was that gift/that inheritance/it worth altogether, at the time it was received? (If multiple gifts or inheritances worth $10,000 or more were received, we can talk about each one separately.)",,PX280501,number,,,,[wealth_gifts_inheritances_year]='UNDEFINED_CODE' OR [wealth_gifts_inheritances_year]='UNDEFINED_CODE_1' OR [wealth_gifts_inheritances_year]='UNDEFINED_CODE_2',,,,,
wealth_gifts_inheritances_amount_enumerated,phenx_wealth,,radio,"How much was that gift/that inheritance/it worth altogether, at the time it was received? (If multiple gifts or inheritances worth $10,000 or more were received, we can talk about each one separately.) Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_gifts_inheritances_year]='UNDEFINED_CODE' OR [wealth_gifts_inheritances_year]='UNDEFINED_CODE_1' OR [wealth_gifts_inheritances_year]='UNDEFINED_CODE_2',,,,,
wealth_gifts_inheritances_amount_25,phenx_wealth,,radio,"Would it amount to $25,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_gifts_inheritances_year]='UNDEFINED_CODE_4',,,,,
wealth_gifts_inheritances_amount_75,phenx_wealth,,radio,"Would it amount to $75,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_gifts_inheritances_amount_25]='UNDEFINED_CODE',,,,,
wealth_gifts_inheritances_other,phenx_wealth,,radio,"Did you [or anyone in your family living there] receive any other large gifts or inheritances of money or property worth $10,000 or more in the last two years? (If yes, repeat all V questions, maximum 3 times.)","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX280501,,,,,,,,,,
